Region,air_pollution_index,avg_salary,Total_city_population,clearance_rate,crime_amount,gdp_per_capita_tenge,Postgraduate_Education,Higher_Education,household_spending_per_month,life_expectancy,med_institutions_amount,number_of_cars,number_of_schools,public_transport_quantity,unemployment_rate,number of entertainment places
Abai Region,39.0,258941.0,610189.0,503.0,2537.0,,0.84,24.22,63212.0,73.8,30.0,7.107,318.0,33.0,5.0,282
Akmola Region,69.5,250155.0,787971.0,2611.0,6584.0,4428.5,0.82,24.02,79216.0,73.48,32.0,168.398,559.0,3755.0,4.8,622
Aktobe Region,136.5,274401.0,928185.0,2408.0,7908.0,4788.2,0.86,23.71,74804.0,74.85,42.0,132.833,426.0,3405.0,4.8,475
Almaty Region,28.8,261228.0,1505984.0,3857.0,15066.0,2860.0,0.76,23.9,76677.0,73.87,44.0,483.233,464.0,6922.0,4.7,280
Atyrau Region,132.1,523210.0,693040.0,1551.0,5391.0,19974.1,0.82,23.51,67757.0,74.66,32.0,98.227,220.0,4997.0,4.8,257
West Kazakhstan Region,25.8,276191.0,688091.0,2416.0,2306.0,6467.8,0.83,23.6,63647.0,73.76,30.0,111.3,381.0,3820.0,5.0,675
Jambyl Region,52.9,234526.0,1217955.0,2745.0,6470.0,2212.2,0.76,22.86,61582.0,74.87,52.0,203.725,501.0,4768.0,5.0,513
Jetisu Region,13.08,229760.0,698675.0,489.0,2306.0,,0.76,23.9,75924.0,74.38,36.0,9.974,349.0,61.0,5.1,303
Karaganda Region,469.0,283803.0,1134753.0,2854.0,10937.0,6412.9,0.87,24.01,101463.0,72.3,61.0,281.402,437.0,5668.0,4.4,561
Kostanay Region,121.4,250943.0,832110.0,2397.0,8528.0,5014.7,0.84,24.23,75662.0,72.68,43.0,164.384,476.0,3649.0,4.9,614
Kyzylorda Region,23.4,265738.0,833531.0,1436.0,3589.0,2917.9,0.78,23.01,63810.0,74.21,33.0,105.598,331.0,4358.0,4.9,403
Mangystau Region,78.7,459953.0,766956.0,1657.0,4407.0,5817.8,0.8,23.26,67617.0,75.83,35.0,127.832,186.0,4397.0,5.1,136
Pavlodar Region,724.2,273505.0,754903.0,2222.0,6181.0,5685.8,0.87,24.2,85524.0,72.9,38.0,150.097,371.0,3948.0,4.8,532
North Kazakhstan Region,52.7,227021.0,534024.0,1902.0,5293.0,4097.7,0.82,24.43,88905.0,72.27,24.0,123.52,467.0,3982.0,4.9,587
Turkistan Region,25.2,237189.0,2119063.0,3163.0,6863.0,,0.37,22.12,56350.0,75.04,47.0,174.984,1004.0,2998.0,5.2,707
Ulytau Region,105.0,402561.0,221395.0,133.0,790.0,,0.87,24.01,88613.0,71.44,11.0,3.495,88.0,2461.0,4.3,109
East Kazakhstan Region,83.3,287063.0,730172.0,3326.0,9416.0,5353.8,0.84,24.22,97411.0,72.37,31.0,285.397,361.0,29.0,4.7,363
Astana city,57.7,406920.0,1354435.0,4289.0,20313.0,8053.9,0.97,25.46,92671.0,77.3,32.0,287.538,164.0,5436.0,4.6,80
Almaty city,41.5,354860.0,2161695.0,6336.0,39928.0,8985.6,0.9,23.83,105837.0,77.32,77.0,484.041,333.0,6826.0,5.0,137
Shymkent city,35.0,234729.0,1191877.0,2699.0,11933.0,,0.84,21.9,57873.0,75.61,88.0,137.544,251.0,11792.0,5.0,92
The Republic Of Kazakhstan,,309697.0,19765004.0,,,5284.7,0.79,23.63,,,818.0,"3 909,62",,,,7736
