,region,air_pollution,avg_salary,population,clearance_rate,life_expectancy,crime_rate,entertainment_places_rate,gdp,postgraduate_education,higher_education,household_spending,med_institution_rate,car_amount_rate,school_number_rate,transport_quanity_rate,unemployment_rate
0,Abai Region,0.39,0.10776902585848891,0.20037829201669843,0.044521171001478343,0.7142857142857144,0.9041625272051824,0.38753254335860465,0.38899453124215283,0.7833333333333332,0.6287425149700585,0.138662679087437,0.8546043467020868,0.025767030115994845,0.5310082490126766,0.001296923472352207,0.7777777777777777
1,Akmola Region,0.6614715627509177,0.07810553396648756,0.292004329227439,0.2675787594291923,0.688311688311689,0.5632812524712048,0.702123291290097,0.3154235567721285,0.75,0.5688622754491011,0.4620607432254935,0.5836926838739324,0.5448837949709294,0.7808951076795777,0.42665384025261505,0.5555555555555554
2,Aktobe Region,0.9113577950150611,0.1599654274804263,0.3642684121012214,0.1640196958942085,0.799512987012987,0.5519660010906426,0.4352181567804858,0.3509134198960297,0.8166666666666667,0.47604790419161613,0.37290601572130044,0.7306043751086474,0.363506003155897,0.4484637223493475,0.3276164599961006,0.5555555555555554
3,Almaty Region,0.28800000000000003,0.11549044697811195,0.6620568984177704,0.1094707714095356,0.7199675324675332,0.4542741745072918,0.12196452442580256,0.11671896803122635,0.6500000000000001,0.5329341317365257,0.41075433952351115,0.2228602373677746,0.820197014490096,0.2482324279352418,0.4113892181444792,0.44444444444444464
4,Atyrau Region,0.903203765046058,1.0,0.24307838993970005,0.14512234758752351,0.7840909090909093,0.6039386798806393,0.2997345088048711,1.0,0.75,0.4161676646706587,0.23050498110614903,0.7598596361483562,0.3599684971277477,0.26062648454032317,0.6473853706477705,0.5555555555555554
5,West Kazakhstan Region,0.258,0.16600886596058595,0.24052775344018962,1.0,0.7110389610389618,0.9875833483825205,0.8863354425824397,0.48755892734384504,0.7666666666666666,0.44311377245508954,0.14745286640935995,0.678327792202475,0.0,0.5742196194423583,0.4976339749085622,0.7777777777777777
6,Jambyl Region,0.5281750262816007,0.02533855072268043,0.513611297222079,0.2987350105117643,0.8011363636363644,0.7977757486522192,0.34815879729315535,0.0,0.6500000000000001,0.22155688622754433,0.10572473578919706,0.6496873285810244,0.42556869954083887,0.3852643278127984,0.34985422022907414,0.7777777777777777
7,Jetisu Region,0.1308,0.009247473741428536,0.24598258001339995,0.06003252180630306,0.7613636363636365,0.9931551137609542,0.3601574226033563,0.4047265705293214,0.6500000000000001,0.5329341317365257,0.39553822215935486,0.9293752184029481,0.03251954051506962,0.5022946733164817,0.004296745445570233,0.8888888888888884
8,Karaganda Region,0.9998852950272723,0.19170867250303014,0.4707302994382312,0.11502991648782424,0.5925324675324676,0.4776421497250537,0.4185177366878935,0.4836849755752901,0.8333333333333333,0.5658682634730541,0.9116131509285266,0.9999999999999999,0.6329371229244641,0.3504367388734092,0.44737543970046084,0.1111111111111116
9,Kostanay Region,0.8801059904873376,0.08076599738680368,0.3147528732670205,0.13766734545371617,0.6233766233766243,0.43889212067398087,0.6526240683372807,0.3719177887558723,0.7833333333333332,0.6317365269461073,0.3902439024390243,0.9341178850734254,0.5033672731555118,0.5985542450020432,0.3923309161446429,0.666666666666667
